Local;L Local en (m);surface en (m²);D en (m);H en (m);Amax en (m);Coef K de Local;Am en m2;Type de detecteur à prévo;L/2D;S/An;nbre de detecteurs à prévo
SAS ESSUE DE SECOURS ;5,5;12;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ESCALIER;5,4;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE PLATRE ;6,6;22;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE DECHOCHAGE;12;45;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
PHARMACIE;5;5;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SAS;17;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
SAS;2,8;3;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL RADIO 1;2,9;3,4;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL RADIO2;3,9;7,6;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE RADIO;6,8;22;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SALLE DE CONTROL;5,1;7;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
SAS;5,2;9,6;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU;5,5;13;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
ESCALIER;5,3;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
LOCAL DERRIER RECPETION CCEE;5,5;11;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
COULOIR;14;36;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;2;1;2
ACCUEIL;6,5;10;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU;5;15;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
BUREAU MEDECIN ;7,8;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONSULTATION;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
CONSULTATION;7;20;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
EXPLORATION ;7,4;25;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
EXPLORATION ;7,4;25;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
NAISSANCE;7,4;25;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
NAISSANCE;7,4;25;6,7;h<12;80;1;80;DETECTEUR OPTIQUE DE FUMEE;1;1;1
